                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.0023,                 1.0591,                0.88647,                   0.75,                0.24421,                0.31935,                0.18758,                 1.4429,                  2.421,                 1.0241,               0.053251,             0.00025131,             0.00025131
                     49,                 1.0117,                 1.0695,                0.93438,                   0.75,                 0.2073,                0.35491,                0.22291,                 1.3435,                 2.3197,                 0.9901,               0.052252,              0.0002519,              0.0002519
                     50,                 1.0561,                 1.1059,                0.90128,                   0.75,                 0.2073,                0.35491,                0.22291,                 1.3435,                 2.3197,                 0.9901,               0.051252,              0.0002523,              0.0002523
                     51,                   1.33,                 1.2507,                0.92789,                   0.75,                0.24618,                0.39434,                0.24929,                 1.3091,                 2.2259,                0.97651,               0.050252,              0.0002525,              0.0002525
                     52,                 1.0581,                    1.1,                0.92013,                   0.75,                0.24618,                0.39434,                0.24929,                 1.3091,                 2.2259,                0.97651,               0.049253,              0.0002525,              0.0002525
                     53,                 1.0188,                 1.2381,                 0.9733,                   0.75,                0.24618,                0.39434,                0.24929,                 1.3091,                 2.2259,                0.97651,               0.048252,              0.0002523,              0.0002523
                     54,                 1.0728,                  1.084,                0.88772,                0.74713,                   0.25,                0.50528,                0.31789,                 1.3199,                  2.108,                0.98128,               0.047252,             0.00025191,             0.00025191
                     55,                 1.0134,                 1.0068,                0.95907,                0.74713,                   0.25,                0.50528,                0.31789,                 1.3199,                  2.108,                0.98128,               0.046251,             0.00025132,             0.00025132
                     56,                 1.1523,                 1.0817,                0.91995,                0.74713,                   0.25,                0.50528,                0.31789,                 1.3199,                  2.108,                0.98128,               0.045251,             0.00025052,             0.00025052
                     57,                0.97026,                 1.0562,                0.95002,                0.74481,                   0.25,                0.47718,                 0.2696,                 1.3899,                 2.0366,                 1.0121,                0.04425,             0.00024954,             0.00024954
                     58,                  1.011,                 1.0215,                0.86942,                0.74481,                   0.25,                0.47718,                 0.2696,                 1.3899,                 2.0366,                 1.0121,               0.043248,             0.00024835,             0.00024835
                     59,                 1.0773,                 1.2028,                0.94384,                0.74481,                   0.25,                0.47718,                 0.2696,                 1.3899,                 2.0366,                 1.0121,               0.042247,             0.00024696,             0.00024696
                     60,                0.93626,                0.88974,                0.91871,                0.31302,                  0.875,                0.65159,                0.38849,                  1.484,                 2.0197,                 1.0511,               0.041245,             0.00024538,             0.00024538
                     61,                 1.1273,                 1.1043,                 1.0658,                0.31302,                  0.875,                0.65159,                0.38849,                  1.484,                 2.0197,                 1.0511,               0.040244,              0.0002436,              0.0002436
                     62,                 1.0884,                 1.4012,                 1.0572,                0.31302,                  0.875,                0.65159,                0.38849,                  1.484,                 2.0197,                 1.0511,               0.039242,             0.00024162,             0.00024162
                     63,                0.95043,                0.95776,                0.91059,                0.23049,                      1,                0.72381,                0.41804,                 1.5386,                 2.0186,                  1.071,               0.038239,             0.00023944,             0.00023944
                     64,                0.90625,                0.89631,                0.84318,                0.23049,                      1,                0.72381,                0.41804,                 1.5386,                 2.0186,                  1.071,               0.037237,             0.00023707,             0.00023707
                     65,                 1.0127,                0.99535,                0.92026,                0.23049,                      1,                0.72381,                0.41804,                 1.5386,                 2.0186,                  1.071,               0.036234,              0.0002345,              0.0002345
                     66,                 1.0672,                0.86409,                0.92892,                0.16447,                      1,                0.81403,                0.45547,                 1.5333,                 2.0012,                 1.0671,               0.035232,             0.00023172,             0.00023172
                     67,                 1.0112,                0.88015,                0.95745,                0.16447,                      1,                0.81403,                0.45547,                 1.5333,                 2.0012,                 1.0671,               0.034229,             0.00022876,             0.00022876
                     68,                 1.0895,                 1.0963,                0.86819,                0.16447,                      1,                0.81403,                0.45547,                 1.5333,                 2.0012,                 1.0671,               0.033226,             0.00022559,             0.00022559
                     69,                0.96702,                0.84745,                0.88302,                0.99348,                   0.25,                0.82927,                0.48306,                 1.5222,                 1.9689,                  1.059,               0.032222,             0.00022222,             0.00022222
                     70,                 1.0457,                 1.0114,                0.89896,                0.99348,                   0.25,                0.82927,                0.48306,                 1.5222,                 1.9689,                  1.059,               0.031219,             0.00021866,             0.00021866
                     71,                0.99184,                0.91855,                0.92994,                0.99348,                   0.25,                0.82927,                0.48306,                 1.5222,                 1.9689,                  1.059,               0.030215,              0.0002149,              0.0002149
                     72,                0.94837,                0.89988,                0.87152,                0.99204,                   0.25,                0.86171,                0.50479,                 1.5034,                 1.9151,                 1.0453,               0.029211,             0.00021094,             0.00021094
                     73,                0.95618,                0.90823,                0.90541,                0.99204,                   0.25,                0.86171,                0.50479,                 1.5034,                 1.9151,                 1.0453,               0.028207,             0.00020678,             0.00020678
                     74,                 1.0689,                 1.2969,                 1.0841,                0.99204,                   0.25,                0.86171,                0.50479,                 1.5034,                 1.9151,                 1.0453,               0.027202,             0.00020243,             0.00020243
                     75,                0.93357,                0.92303,                0.87826,                0.99069,                0.30874,                0.88786,                0.53043,                 1.4714,                 1.8333,                 1.0258,               0.026198,             0.00019788,             0.00019788
                     76,                0.99393,                0.92552,                0.84661,                0.99069,                0.30874,                0.88786,                0.53043,                 1.4714,                 1.8333,                 1.0258,               0.025193,             0.00019313,             0.00019313
                     77,                0.91662,                0.83827,                0.93362,                0.99069,                0.30874,                0.88786,                0.53043,                 1.4714,                 1.8333,                 1.0258,               0.024188,             0.00018818,             0.00018818
                     78,                0.97871,                0.82405,                0.96463,                0.98965,                0.31983,                0.94762,                0.55931,                 1.4118,                 1.7868,                  1.003,               0.023183,             0.00018303,             0.00018303
                     79,                0.93161,                 0.7746,                0.91535,                0.98965,                0.31983,                0.94762,                0.55931,                 1.4118,                 1.7868,                  1.003,               0.022178,             0.00017768,             0.00017768
                     80,                 0.8471,                0.82218,                0.88361,                0.98965,                0.31983,                0.94762,                0.55931,                 1.4118,                 1.7868,                  1.003,               0.021172,             0.00017214,             0.00017214
                     81,                0.94867,                0.78516,                0.88993,                0.98892,                0.32444,                0.98929,                0.59924,                 1.3662,                 1.7303,                0.98527,               0.020166,              0.0001664,              0.0001664
                     82,                0.94295,                0.83269,                0.86079,                0.98892,                0.32444,                0.98929,                0.59924,                 1.3662,                 1.7303,                0.98527,                0.01916,             0.00016046,             0.00016046
                     83,                0.94374,                0.80733,                0.93371,                0.98892,                0.32444,                0.98929,                0.59924,                 1.3662,                 1.7303,                0.98527,               0.018154,             0.00015432,             0.00015432
                     84,                0.97258,                0.90094,                0.88816,                0.98823,                0.32749,                0.98929,                0.58983,                 1.3514,                 1.6711,                0.97731,               0.017148,             0.00014799,             0.00014799
                     85,                0.92049,                0.81363,                0.89719,                0.98823,                0.32749,                0.98929,                0.58983,                 1.3514,                 1.6711,                0.97731,               0.016141,             0.00014146,             0.00014146
                     86,                0.91867,                0.81507,                0.83458,                0.98823,                0.32749,                0.98929,                0.58983,                 1.3514,                 1.6711,                0.97731,               0.015135,             0.00013473,             0.00013473
                     87,                0.98197,                0.97674,                0.89194,                0.98823,                0.32749,                0.98929,                0.58983,                 1.3514,                 1.6711,                0.97731,               0.014128,              0.0001278,              0.0001278
                     88,                0.88457,                0.85938,                0.88853,                0.98432,                0.33279,                0.98929,                0.60374,                 1.3787,                 1.5623,                0.98085,               0.013121,             0.00012067,             0.00012067
                     89,                 0.9248,                0.88314,                 0.8961,                0.98432,                0.33279,                0.98929,                0.60374,                 1.3787,                 1.5623,                0.98085,               0.012113,             0.00011334,             0.00011334
                     90,                0.87299,                0.75169,                0.87596,                0.98432,                0.33279,                0.98929,                0.60374,                 1.3787,                 1.5623,                0.98085,               0.011106,             0.00010582,             0.00010582
                     91,                0.93339,                 0.9136,                0.88065,                0.98432,                0.33279,                0.98929,                0.60374,                 1.3787,                 1.5623,                0.98085,               0.010098,               9.81e-05,               9.81e-05
                     92,                 0.9077,                0.96833,                0.88952,                   0.98,                0.59528,                0.98929,                0.60883,                 1.4115,                 1.4329,                0.98875,              0.0090902,             9.0181e-05,             9.0181e-05
                     93,                0.85796,                0.89779,                0.90426,                   0.98,                0.59528,                0.98929,                0.60883,                 1.4115,                 1.4329,                0.98875,              0.0080821,             8.2064e-05,             8.2064e-05
                     94,                0.91148,                0.83205,                0.90784,                   0.98,                0.59528,                0.98929,                0.60883,                 1.4115,                 1.4329,                0.98875,              0.0070737,             7.3749e-05,             7.3749e-05
                     95,                0.90945,                 1.0802,                0.85797,                   0.98,                0.59528,                0.98929,                0.60883,                 1.4115,                 1.4329,                0.98875,              0.0060652,             6.5236e-05,             6.5236e-05
                     96,                0.95854,                0.98139,                0.90327,                0.97828,                0.67835,                0.98929,                0.60512,                 1.4424,                 1.3187,                0.99893,              0.0050565,             5.6525e-05,             5.6525e-05
                     97,                0.95525,                0.94948,                0.91327,                0.97828,                0.67835,                0.98929,                0.60512,                 1.4424,                 1.3187,                0.99893,              0.0040476,             4.7616e-05,             4.7616e-05
                     98,                  0.968,                0.82525,                0.94297,                0.97828,                0.67835,                0.98929,                0.60512,                 1.4424,                 1.3187,                0.99893,              0.0030385,             3.8509e-05,             3.8509e-05
                     99,                0.98607,                0.88519,                0.91448,                0.97828,                0.67835,                0.98929,                0.60512,                 1.4424,                 1.3187,                0.99893,              0.0020292,             2.9204e-05,             2.9204e-05
                    100,                0.93168,                0.86843,                0.90696,                0.94927,                0.71163,                  0.995,                0.62237,                 1.4625,                 1.2298,                 1.0074,              0.0010197,             1.9701e-05,             1.9701e-05
